central_shell_r,h,chirality,p_minus4,p_minus3,p_minus2,p_minus1,p0,p_plus1,p_plus2,p_plus3,p_plus4,endpoint_span
1166580,-431444,1,2041381044001,2041384543711,2041388043423,2041391543139,2041395042857,2041398542579,2041402042303,2041405542031,2041409041761,27997920
1173600,22996,1,2066019729001,2066023250071,2066026771143,2066030292219,2066033813297,2066037334379,2066040855463,2066044376551,2066047897641,28166400
1179130,-290354,1,2085563663401,2085567200191,2085570736983,2085574273779,2085577810577,2085581347379,2085584884183,2085588420991,2085591957801,28299120
1180965,-150926,-1,2092058623177,2092062166061,2092065708949,2092069251839,2092072794733,2092076337629,2092079880529,2092083423431,2092086966337,28343160
1193440,-163064,1,2136486432601,2136490012951,2136493593303,2136497173659,2136500754017,2136504334379,2136507914743,2136511495111,2136515075481,28642560
1194375,-36476,-1,2139835501497,2139839084611,2139842667729,2139846250849,2139849833973,2139853417099,2139857000229,2139860583361,2139864166497,28665000
1206555,355204,-1,2183706929977,2183710549631,2183714169289,2183717788949,2183721408613,2183725028279,2183728647949,2183732267621,2183735887297,28957320
1216465,-234896,-1,2219702499577,2219706148961,2219709798349,2219713447739,2219717097133,2219720746529,2219724395929,2219728045331,2219731694737,29195160
1219665,104674,-1,2231390667377,2231394326361,2231397985349,2231401644339,2231405303333,2231408962329,2231412621329,2231416280331,2231419939337,29271960
1233100,-102344,1,2280742070001,2280745769191,2280749468383,2280753167579,2280756866777,2280760565979,2280764265183,2280767964391,2280771663601,29594400
1240185,-256286,-1,2307049938277,2307053658841,2307057379409,2307061099979,2307064820553,2307068541129,2307072261709,2307075982291,2307079702877,29764440
1246160,87256,1,2329343273101,2329347011431,2329350749763,2329354488099,2329358226437,2329361964779,2329365703123,2329369441471,2329373179821,29907840
1250630,-596024,1,2346009306601,2346013058371,2346016810143,2346020561919,2346024313697,2346028065479,2346031817263,2346035569051,2346039320841,30015120
1265160,-50924,1,2400822842101,2400826637551,2400830433003,2400834228459,2400838023917,2400841819379,2400845614843,2400849410311,2400853205781,30363840
1267360,561676,1,2409178277101,2409182079151,2409185881203,2409189683259,2409193485317,2409197287379,2409201089443,2409204891511,2409208693581,30416640
1281115,-291806,-1,2461721099977,2461724943271,2461728786569,2461732629869,2461736473173,2461740316479,2461744159789,2461748003101,2461751846417,30746760
1294035,-26066,-1,2511619349477,2511623231581,2511627113689,2511630995799,2511634877913,2511638760029,2511642642149,2511646524271,2511650406397,31056840
1294950,-134714,1,2515171051501,2515174936351,2515178821203,2515182706059,2515186590917,2515190475779,2515194360643,2515198245511,2515202130381,31078800
1302190,-387674,1,2543375255101,2543379161551,2543383068003,2543386974459,2543390880917,2543394787379,2543398693843,2543402600311,2543406506781,31252560
1308580,57796,1,2568392117401,2568396043111,2568399968823,2568403894539,2568407820257,2568411745979,2568415671703,2568419597431,2568423523161,31405920
1310205,347464,-1,2574775448277,2574779378881,2574783309489,2574787240099,2574791170713,2574795101329,2574799031949,2574802962571,2574806893197,31444920
1319270,-317234,1,2610537852001,2610541809791,2610545767583,2610549725379,2610553683177,2610557640979,2610561598783,2610565556591,2610569514401,31662480
1322500,-340544,1,2623332255001,2623336222471,2623340189943,2623344157419,2623348124897,2623352092379,2623356059863,2623360027351,2623363994841,31740000
1324125,5254,-1,2629783681377,2629787653761,2629791626149,2629795598539,2629799570933,2629803543329,2629807515729,2629811488131,2629815460537,31779000
1333860,-523004,1,2668602000001,2668606001551,2668610003103,2668614004659,2668618006217,2668622007779,2668626009343,2668630010911,2668634012481,32012640
1334860,552616,1,2672609043601,2672613048151,2672617052703,2672621057259,2672625061817,2672629066379,2672633070943,2672637075511,2672641080081,32036640
1339625,590914,-1,2691749932977,2691753951861,2691757970749,2691761989639,2691766008533,2691770027429,2691774046329,2691778065231,2691782084137,32151000
1347705,-2426,-1,2724304631077,2724308674161,2724312717249,2724316760339,2724320803433,2724324846529,2724328889629,2724332932731,2724336975837,32344920
1351145,4744,-1,2738235727477,2738239780861,2738243834249,2738247887639,2738251941033,2738255994429,2738260047829,2738264101231,2738268154637,32427480
1356030,580546,1,2758086059401,2758090127491,2758094195583,2758098263679,2758102331777,2758106399879,2758110467983,2758114536091,2758118604201,32544720
1360775,-468506,-1,2777422288377,2777426370661,2777430452949,2777434535239,2777438617533,2777442699829,2777446782129,2777450864431,2777454946737,32658600
1365940,540496,1,2798557701001,2798561798791,2798565896583,2798569994379,2798574092177,2798578189979,2798582287783,2798586385591,2798590483401,32782560
1370190,-537434,1,2816017926001,2816022036551,2816026147103,2816030257659,2816034368217,2816038478779,2816042589343,2816046699911,2816050810481,32884560
1371450,-530114,1,2821199766901,2821203881231,2821207995563,2821212109899,2821216224237,2821220338579,2821224452923,2821228567271,2821232681621,32914800
1371785,297604,-1,2822587266577,2822591381931,2822595497289,2822599612649,2822603728013,2822607843379,2822611958749,2822616074121,2822620189497,32922840
1389795,152674,-1,2897195457077,2897199626461,2897203795849,2897207965239,2897212134633,2897216304029,2897220473429,2897224642831,2897228812237,33355080
1396095,6334,-1,2923525898877,2923530087161,2923534275449,2923538463739,2923542652033,2923546840329,2923551028629,2923555216931,2923559405237,33506280
1412580,-92384,1,2992845594001,2992849831111,2992854068223,2992858305339,2992862542457,2992866779579,2992871016703,2992875253831,2992879490961,33901920
1418750,-510014,1,3019062082501,3019066338811,3019070595123,3019074851439,3019079107757,3019083364079,3019087620403,3019091876731,3019096133061,34050000
1419160,17236,1,3020817629101,3020821886641,3020826144183,3020830401729,3020834659277,3020838916829,3020843174383,3020847431941,3020851689501,34059840
1426460,535786,1,3051978242401,3051982521771,3051986801143,3051991080519,3051995359897,3051999639279,3052003918663,3052008198051,3052012477441,34235040
1430850,-394154,1,3070819965001,3070824257551,3070828550103,3070832842659,3070837135217,3070841427779,3070845720343,3070850012911,3070854305481,34340400
1432800,42196,1,3079190850001,3079195148471,3079199446943,3079203745419,3079208043897,3079212342379,3079216640863,3079220939351,3079225237841,34387200
1453365,6904,-1,3168254912677,3168259272761,3168263632849,3168267992939,3168272353033,3168276713129,3168281073229,3168285433331,3168289793437,34880760
1457085,6604,-1,3184500610477,3184504981741,3184509353009,3184513724279,3184518095553,3184522466829,3184526838109,3184531209391,3184535580677,34970040
1465390,-542294,1,3220977837001,3220982233151,3220986629303,3220991025459,3220995421617,3220999817779,3221004213943,3221008610111,3221013006281,35169360
1469590,42256,1,3239470339501,3239474748271,3239479157043,3239483565819,3239487974597,3239492383379,3239496792163,3239501200951,3239505609741,35270160
1471375,-575996,-1,3247345341577,3247349755711,3247354169849,3247358583989,3247362998133,3247367412279,3247371826429,3247376240581,3247380654737,35313000
1472815,-510896,-1,3253698614077,3253703032531,3253707450989,3253711869449,3253716287913,3253720706379,3253725124849,3253729543321,3253733961797,35347560
1482170,-64274,1,3295185931201,3295190377711,3295194824223,3295199270739,3295203717257,3295208163779,3295212610303,3295217056831,3295221503361,35572080
1485295,-172856,-1,3309097234477,3309101690341,3309106146209,3309110602079,3309115057953,3309119513829,3309123969709,3309128425591,3309132881477,35647080
1496380,221656,1,3358673856601,3358678345711,3358682834823,3358687323939,3358691813057,3358696302179,3358700791303,3358705280431,3358709769561,35913120
1497795,-420806,-1,3365024049877,3365028543261,3365033036649,3365037530039,3365042023433,3365046516829,3365051010229,3365055503631,3365059997037,35947080
1507380,-605054,1,3408247837801,3408252360031,3408256882263,3408261404499,3408265926737,3408270448979,3408274971223,3408279493471,3408284015721,36177120
1521410,743086,1,3471982818301,3471987382471,3471991946643,3471996510819,3472001074997,3472005639179,3472010203363,3472014767551,3472019331741,36513840
1522365,-350846,-1,3476363371477,3476367938561,3476372505649,3476377072739,3476381639833,3476386206929,3476390774029,3476395341131,3476399908237,36536760
1527465,-362996,-1,3499692846877,3499697429261,3499702011649,3499706594039,3499711176433,3499715758829,3499720341229,3499724923631,3499729506037,36659160
1530590,-367664,1,3514045912501,3514050504271,3514055096043,3514059687819,3514064279597,3514068871379,3514073463163,3514078054951,3514082646741,36734160
1532695,725674,-1,3523726051777,3523730649861,3523735247949,3523739846039,3523744444133,3523749042229,3523753640329,3523758238431,3523762836537,36784680
1540020,6646,1,3557424060601,3557428680631,3557433300663,3557437920699,3557442540737,3557447160779,3557451780823,3557456400871,3557461020921,36960480
1542370,-612104,1,3568295945101,3568300571911,3568305198723,3568309825539,3568314452357,3568319079179,3568323706003,3568328332831,3568332959661,37016880
1550425,-639146,-1,3605625510877,3605630162161,3605634813449,3605639464739,3605644116033,3605648767329,3605653418629,3605658069931,3605662721237,37210200
1551220,-119564,1,3609326417401,3609331071031,3609335724663,3609340378299,3609345031937,3609349685579,3609354339223,3609358992871,3609363646521,37229280
1555485,-301196,-1,3629229791077,3629234457521,3629239123969,3629243790419,3629248456873,3629253123329,3629257789789,3629262456251,3629267122717,37331640
1562010,55486,1,3659771263201,3659775949231,3659780635263,3659785321299,3659790007337,3659794693379,3659799379423,3659804065471,3659808751521,37488240
1577925,112834,-1,3734787109177,3734791842961,3734796576749,3734801310539,3734806044333,3734810778129,3734815511929,3734820245731,3734824979537,37870200
1580175,361174,-1,3745442192497,3745446933031,3745451673569,3745456414109,3745461154653,3745465895199,3745470635749,3745475376301,3745480116857,37924200
1586275,-103166,-1,3774436807477,3774441566311,3774446325149,3774451083989,3774455842833,3774460601679,3774465360529,3774470119381,3774474878237,38070600
1607685,-300476,-1,3877056884077,3877061707141,3877066530209,3877071353279,3877076176353,3877080999429,3877085822509,3877090645591,3877095468677,38584440
1614850,32236,1,3911729273401,3911734117951,3911738962503,3911743807059,3911748651617,3911753496179,3911758340743,3911763185311,3911768029881,38756400
